id,username,created,verified,followers,formal,sentiment,likes,RT,URL,class,,,,,
72,narendramodi,Jan-09,TRUE,45000000,TRUE,0,18373,13313,0,3,,,,,
73,adamcbest,Nov-08,TRUE,133000,TRUE,0,308,88,0,1,,,,,
74,politico,Oct-07,TRUE,3720000,TRUE,0,271,113,1,3,,,,,
75,thedummyuser2,Apr-12,FALSE,32,FALSE,1,6,0,1,0,,,,,
76,realDonaldTrump,Mar-09,TRUE,56900000,FALSE,-1,3132,322,0,1,,,,,
77,AlexHirsch,Oct-09,TRUE,544000,FALSE,-1,114219,51882,1,2,,,,,
78,AlexHirsch,Oct-09,TRUE,544000,TRUE,0,2400,233,1,3,,,,,
79,Nidhi,May-15,TRUE,296000,TRUE,0,3170,733,0,2,,,,,
80,unoffarnab,Mar-16,FALSE,7509,FALSE,-1,42,9,0,0,,,,,
81,SudeepSudhakrn,Feb-11,FALSE,2775,FALSE,-1,749,333,1,0,,,,,
82,republic,Dec-16,TRUE,503000,TRUE,0,87,18,1,3,,,,,
83,kktotlani,Apr-11,FALSE,11400,FALSE,-1,10,3,0,0,,,,,
84,faizanlakhani,Aug-10,TRUE,142000,FALSE,0,0,9,0,1,,,,,
85,RealSaavedra,Dec-16,TRUE,155000,TRUE,0,384,268,1,3,,,,,
86,washingtonpost,Mar-07,TRUE,13200000,TRUE,0,1191,397,1,3,,,,,
87,washingtonpost,Mar-07,TRUE,13200000,TRUE,0,41,20,0,2,,,,,
88,washingtonpost,Mar-07,TRUE,13200000,TRUE,-1,1193,309,1,3,,,,,
89,washingtonpost,Mar-07,TRUE,13200000,FALSE,-1,348,12,0,1,,,,,
90,MrJDScott,Mar-09,TRUE,60200,TRUE,-1,307,33,1,3,,,,,
91,youragittita,Jan-19,FALSE,43,TRUE,-1,84,83,1,1,,,,,
92,younghothings,Jan-19,FALSE,46,TRUE,0,78,65,0,1,,,,,
93,gautambhatia88,Nov-10,FALSE,27800,TRUE,0,655,369,1,1,,,,,
94,Nidhi,May-15,TRUE,296000,TRUE,0,3033,1097,1,3,,,,,
95,Nidhi,May-15,TRUE,296000,TRUE,-1,4140,1195,1,3,,,,,
96,someshjha7,Dec-10,TRUE,3619,TRUE,0,105,60,0,2,,,,,
97,MehboobaMufti,Jul-14,TRUE,101000,TRUE,-1,1808,273,0,1,,,,,
98,ManikaRaikwar,Feb-17,FALSE,2023,FALSE,0,102,16,1,1,,,,,
99,ndtv,May-09,TRUE,11100000,TRUE,0,485,220,1,3,,,,,
100,ManikaRaikwar,Feb-17,FALSE,2023,FALSE,-1,1,6,0,0,,,,,
